	Cleavage	Brown	Mid	Late/Larvae	Metam	Adult
Aqu2.1.14654_001	0	0	0.047960781	0	0.03082151	0
Aqu2.1.14655_001	17.66051869	4.517827469	0.904923713	0.95243736	1.570951082	1.804207766
Aqu2.1.14656_001	0.424554716	0	0.010328839	0	0	0
Aqu2.1.14657_001	2.906759603	3.782240064	2.051990792	2.840006766	3.425517553	2.831654744
Aqu2.1.14658_001	0.625416507	0.322133232	0.04247252	0.285695635	0.729635323	0.670708687
Aqu2.1.14659_001	0	0	0.022638037	0	0.123631402	0
Aqu2.1.14660_001	0.68725214	0	0.1143312	0.081323558	0.070844244	0
Aqu2.1.14661_001	10.68946251	9.594115521	11.24123432	17.9492009	20.53687272	5.127507032
Aqu2.1.14662_001	0.533533886	1.046737139	0.373193255	0.381696607	0.573236097	0.073375022
Aqu2.1.14663_001	0.834586184	0.327484274	0.296703358	0.229550265	0.986507352	1.082576478
Aqu2.1.14664_001	0	0.581135706	0.019935034	0.775560891	0.954848606	3.856485298
Aqu2.1.14665_001	0.849109433	0	0.021814842	1.137272421	1.104754444	5.010811407
Aqu2.1.14666_001	0	0	0	0.116248721	0.416155185	1.157447886
Aqu2.1.14668_001	0	0.249954883	0.019935034	0.752268528	1.454532043	4.404830457
Aqu2.1.14669_001	0	0	0	0	0.016125004	0.058541648
Aqu2.1.14670_001	0	0	0	0.132255911	0.15194536	0.807526919
Aqu2.1.14671_001	0	0	0.152064998	0.21191983	0.44101789	0.103279368
Aqu2.1.14672_001	0	0	0	0.139307368	0.142843061	0.297707651
Aqu2.1.14673_001	0	0	0.031416155	0.072252947	0.024953402	0.340789685
Aqu2.1.14674_001	0	0	0.20374233	0.236312209	0.31392859	1.099683524
Aqu2.1.14675_001	0	0	0	0	0.070919285	0.103279368
Aqu2.1.14676_001	0	0	0	0.353188887	0	0
Aqu2.1.14678_001	1.628763909	0	0.020657677	0.252914972	0.083891435	0
Aqu2.1.14679_001	0.301052298	0	0.055604912	0.051011464	0.172732299	0.122008102
Aqu2.1.14680_001	0	0	0	0	0.022846686	0
Aqu2.1.14681_001	0	0.202525411	0	0.119147546	0.680401911	0.154854375
Aqu2.1.14683_001	0.834586184	0	0.075864136	0.008501911	0.23146718	0.073375022
Aqu2.1.14684_001	0.423312164	1.493903393	0.927370698	0.522416064	1.980148368	5.672836065
Aqu2.1.14685_001	0.995503094	0.296946494	1.216106935	0.12924881	0.921860321	0.178087347
Aqu2.1.14686_001	0.464521053	0.18087788	0.11449948	0.273589609	0.559916515	27.2415282
Aqu2.1.14687_001	0.301052298	0.344702666	0.176994469	0.394561639	0.654963219	78.13696151
Aqu2.1.14688_001	0	0	0.010328839	0	0	0.206558736
Aqu2.1.14689_001	0.470506755	0.18087788	0.167215334	0.032080047	0.324970802	0.474121522
Aqu2.1.14690_001	0.10897917	0.48855089	0.477596528	0.589803194	1.650164038	1.569178623
Aqu2.1.14691_001	0	0	11.23575574	9.104701665	0.209049007	0.790590261
Aqu2.1.14692_001	1.001177284	0.202525411	2.012191409	0.441685248	0.276170002	0.516267486
Aqu2.1.14693_001	0	0	0.010328839	0.030411446	0.027008692	0
Aqu2.1.14694_001	0.485259663	0.266590488	0.176681143	0.192382768	0.573512887	0.533249652
